Order Number,Date,Time,Restaurant,Cuisine,Items,Cost
167,2020-10-16,2:41 PM,Sycamore Grill,American,2,$30.71 
166,2020-10-15,2:47 PM,Moish & Itzy's Deli,Diner,4,$50.03 
165,2020-10-14,8:03 PM,La Stalla,Italian,2,$47.41 
164,2020-10-10,2:20 PM,Lovebird,Chicken,3,$27.93 
163,2020-10-08,1:02 PM,Burritos,Mexican,2,$24.15 
162,2020-10-05,2:17 PM,The Turning Point,Diner,2,$26.24 
161,2020-10-04,10:18 AM,Yardley Bagel Café,Café,3,$29.24 
160,2020-10-02,7:59 PM,CVS,Convenience,9,$68.88 
159,2020-09-25,5:33 PM,La Stalla,Italian,4,$79.96 
158,2020-09-23,3:17 PM,Moish & Itzy's Deli,Diner,2,$29.81 
157,2020-09-20,12:13 PM,The Turning Point,Diner,2,$26.07 
156,2020-09-19,5:51 PM,Osaka Sushi Japanese,Japanese,3,$36.94 
155,2020-09-18,8:28 PM,Piccolo Trattoria,Italian,2,$26.90 
154,2020-09-16,6:46 PM,La Stalla,Italian,2,$42.96 
153,2020-09-15,2:30 PM,The Turning Point,Diner,2,$27.90 
152,2020-09-13,3:47 PM,Playa Bowls,Juice Bar,2,$21.55 
151,2020-09-12,7:34 PM,Burritos,Mexican,3,$27.49 
150,2020-09-11,8:25 PM,Osaka Sushi Japanese,Japanese,3,$37.06 
149,2020-09-11,1:56 PM,The Turning Point,Diner,2,$24.34 
148,2020-09-10,7:56 PM,Christine's,Italian,1,$28.59 
147,2020-09-10,2:28 PM,The Turning Point,Diner,3,$39.37 
146,2020-09-07,5:19 PM,Osaka Sushi Japanese,Japanese,3,$25.52 
145,2020-09-06,8:50 PM,Zoe's Kitchen,Greek,2,$19.34 
144,2020-09-05,7:39 PM,La Stalla,Italian,2,$47.41 
143,2020-09-05,12:07 PM,Burritos,Mexican,3,$27.49 
142,2020-09-03,11:25 AM,Playa Bowls,Juice Bar,1,$16.36 
141,2020-09-02,7:22 PM,La Stalla,Italian,1,$29.71 
140,2020-08-31,5:05 PM,Burritos,Mexican,3,$27.49 
